,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
1170,Elmira College,Elmira,NCAA Division III (without football),333,0.0,28215.0,132.0,536677.0,521662.0,521662,17.0,17.0,2898.0,49269.0,0.0,98395.0,100646.0
1171,Erie Community College,Buffalo,NJCAA Division III,4527,7500.0,28881.0,176.0,227752.0,227752.0,227752,15.0,15.0,2978.0,44663.0,1.0,150779.0,150779.0
1172,Fashion Institute of Technology,New York,NJCAA Division III,1009,0.0,3125.0,12.0,38650.0,38650.0,38650,,,,,,,
1173,Finger Lakes Community College,Canandaigua,NJCAA Division III,1575,0.0,6329.0,159.0,159381.0,159381.0,159381,13.0,13.0,1783.0,23182.0,,39641.0,39641.0
1174,Fordham University,Bronx,NCAA Division I-AA,3544,6570417.0,131746.0,351.0,3506791.0,3506791.0,3506791,19.0,19.0,35455.0,673639.0,1.0,3985116.0,3985116.0
1175,Fulton-Montgomery Community College,Johnstown,NJCAA Division III,794,0.0,5293.0,65.0,49437.0,49437.0,49437,17.0,17.0,1158.0,19687.0,,30124.0,30124.0
1176,Genesee Community College,Batavia,NJCAA Division II,1109,68822.0,5550.0,102.0,248245.0,248245.0,248245,10.0,10.0,2530.0,25302.0,,62473.0,62473.0
1177,Hamilton College,Clinton,NCAA Division III (with football),926,0.0,42969.0,377.0,1405273.0,1405273.0,1405273,15.0,15.0,3162.0,47431.0,,170159.0,170159.0
1178,Hartwick College,Oneonta,NCAA Division III (with football),645,482734.0,34768.0,275.0,1095240.0,1095240.0,1095240,22.0,22.0,1922.0,42285.0,,158191.0,158191.0
1179,Herkimer County Community College,Herkimer,NJCAA Division III,824,0.0,4775.0,161.0,139413.0,139413.0,139413,15.0,15.0,1233.0,18495.0,,29547.0,29547.0
1180,Hilbert College,Hamburg,NCAA Division III (without football),406,0.0,6929.0,129.0,192848.0,192848.0,192848,16.0,16.0,2611.0,41783.0,,56310.0,56310.0
1181,Hobart William Smith Colleges,Geneva,NCAA Division III (with football),1043,0.0,52970.0,316.0,1316815.0,1303706.0,1391700,13.0,13.0,2207.0,28697.0,1.0,214795.0,209094.0
1182,Hofstra University,Hempstead,NCAA Division I-AAA,2940,3427790.0,115666.0,149.0,5173293.0,5173293.0,5173293,14.0,14.0,26963.0,377485.0,1.0,2701104.0,2701104.0
1183,Houghton College,Houghton,NCAA Division III (without football),363,121270.0,16221.0,167.0,381725.0,381725.0,381725,21.0,21.0,1492.0,31338.0,,118208.0,118208.0
1184,Hudson Valley Community College,Troy,NJCAA Division III,3749,0.0,5163.0,211.0,121089.0,121089.0,121089,15.0,15.0,1163.0,17450.0,,29050.0,29050.0
1185,Iona College,New Rochelle,NCAA Division I-AA,1406,1820506.0,99887.0,232.0,2009639.0,2009639.0,2009639,16.0,16.0,23719.0,379506.0,1.0,2159414.0,2159414.0
1186,Ithaca College,Ithaca,NCAA Division III (with football),2667,0.0,65273.0,559.0,1455850.0,1455850.0,1455850,15.0,15.0,2449.0,36732.0,,165663.0,165663.0
1187,Jamestown Community College,Jamestown,NJCAA Division III,1150,10044.0,3792.0,140.0,149428.0,149428.0,149428,30.0,30.0,1060.0,31805.0,,79762.0,79762.0
1188,Jefferson Community College,Watertown,NJCAA Division III,887,0.0,5327.0,91.0,122618.0,122618.0,122618,12.0,12.0,1815.0,21782.0,,35322.0,35322.0
1189,Keuka College,Keuka Park,NCAA Division III (without football),392,0.0,17120.0,143.0,386341.0,386341.0,386341,15.0,15.0,2998.0,44963.0,,96279.0,96279.0
1190,Le Moyne College,Syracuse,NCAA Division II (without football),1047,775873.0,36766.0,161.0,1188700.0,1108778.0,1108778,12.0,12.0,5400.0,64794.0,1.0,581999.0,534176.0
1191,LIU Brooklyn,Brooklyn,NCAA Division I-AAA,1314,2606589.0,67396.0,122.0,2843744.0,2843744.0,2843744,14.0,14.0,17296.0,242138.0,1.0,1780609.0,1780609.0
1192,LIU Post,Brookville,NCAA Division II (with football),1442,2996637.0,40836.0,236.0,1570126.0,1570126.0,1570126,16.0,16.0,3539.0,56624.0,1.0,609231.0,609231.0
1193,Manhattan College,Riverdale,NCAA Division I-AAA,1741,2317383.0,61835.0,258.0,2684798.0,2684798.0,2684798,14.0,14.0,33997.0,475964.0,1.0,1915283.0,1915283.0
1194,Manhattanville College,Purchase,NCAA Division III (without football),579,0.0,26768.0,165.0,555874.0,522266.0,522266,15.0,15.0,1023.0,15338.0,1.0,116833.0,114526.0
1195,Marist College,Poughkeepsie,NCAA Division I-AA,2027,1806764.0,62861.0,403.0,2745281.0,2745281.0,2745281,14.0,14.0,21487.0,300824.0,1.0,1916865.0,1916865.0
1196,Medaille College,Buffalo,NCAA Division III (without football),543,0.0,13412.0,122.0,302562.0,270016.0,270016,15.0,15.0,1967.0,29505.0,,203886.0,155557.0
1197,Mercy College,Dobbs Ferry,NCAA Division II (without football),1694,548032.0,11500.0,116.0,711119.0,673455.0,673455,14.0,14.0,2182.0,30551.0,,112939.0,112589.0
1198,Mohawk Valley Community College,Utica,NJCAA Division III,2252,0.0,5826.0,219.0,243788.0,243788.0,243788,12.0,12.0,1961.0,23532.0,,43339.0,43339.0
1199,Molloy College,Rockville Centre,NCAA Division II (without football),751,915520.0,12365.0,164.0,1146727.0,1125040.0,1125040,12.0,12.0,4427.0,53120.0,,282939.0,279384.0
1200,Monroe College,Bronx,Other,1879,1634930.0,18864.0,293.0,1579719.0,1579719.0,1579719,26.0,26.0,7966.0,207122.0,,551865.0,551865.0
1201,Monroe Community College,Rochester,NJCAA Division I,4917,113065.0,40553.0,145.0,740790.0,707982.0,707982,16.0,16.0,3671.0,58735.0,,193809.0,192546.0
1202,Mount Saint Mary College,Newburgh,NCAA Division III (without football),537,0.0,18441.0,188.0,421111.0,403986.0,403986,17.0,17.0,2208.0,37543.0,,112952.0,105882.0
1203,College of Mount Saint Vincent,Bronx,NCAA Division III (without football),439,0.0,7512.0,144.0,278027.0,280564.0,280564,27.0,27.0,1776.0,47954.0,,76345.0,73808.0
1204,Nassau Community College,Garden City,NJCAA Division III,7188,0.0,10121.0,369.0,238677.0,238677.0,238677,15.0,15.0,1215.0,18225.0,,41244.0,41244.0
1205,Nazareth College,Rochester,NCAA Division III (without football),503,0.0,19501.0,206.0,828305.0,715857.0,715857,14.0,14.0,2090.0,29257.0,,146442.0,119287.0
1206,The College of New Rochelle,New Rochelle,NCAA Division III (without football),285,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,,,
1207,New York University,New York,NCAA Division III (without football),8463,0.0,49664.0,302.0,1991736.0,1981961.0,1981961,15.0,15.0,10228.0,153421.0,1.0,463743.0,427132.0
1208,Niagara County Community College,Sanborn,NJCAA Division III,1857,19000.0,14241.0,135.0,256771.0,184660.0,184660,15.0,15.0,1795.0,26930.0,0.0,86325.0,81576.0
1209,Niagara University,Niagara University,NCAA Division I-AAA,1146,1740993.0,53361.0,161.0,2637236.0,2637236.0,2637236,16.0,16.0,18621.0,297940.0,1.0,1405571.0,1405571.0
1210,North Country Community College,Saranac Lake,NJCAA Division III,318,0.0,7500.0,39.0,27614.0,27614.0,27614,17.0,17.0,2043.0,34723.0,,49198.0,49198.0
1211,New York Institute of Technology,Old Westbury,NCAA Division II (without football),2266,1676987.0,22236.0,125.0,1803861.0,1782229.0,1782229,12.0,12.0,3063.0,36757.0,,405463.0,403436.0
1212,Nyack College,Nyack,NCAA Division II (without football),599,986155.0,21100.0,75.0,974381.0,974381.0,974381,14.0,14.0,3838.0,53737.0,1.0,432908.0,432908.0
1213,Onondaga Community College,Syracuse,NJCAA Division III,3313,0.0,9554.0,140.0,368942.0,355639.0,355639,12.0,12.0,3432.0,41189.0,,119787.0,126876.0
